rec_id,given_name,surname,street_number,address_1,address_2,suburb,postcode,state,date_of_birth,age,phone_number,soc_sec_id,blocking_number
33461,erin,fieod,5,groom street,,glenroy,4164,nsw,19720702,27,04 60632518,1400905,2
18241,ebony,daniels,34,weddin cirduit,villa 5,,4561,wa,19090916,24,08 95371275,5953578,4
33231,sam,brokesha,8,bourke street,,fairfield,3022,nsw,19720801,31,03 69154188,5659656,6
18881,riley,blackburn,58,massey street,big oadkey,birdwood,4113,wa,19890115,31,07 62936744,1165251,2
22551,erin,riddle,111,mina wylie crescent,hightcon,henley beach,5063,,19290827,31,03 78551213,5670739,8
45181,bailey,sampsmn,17,,windy hill,auburn,5222,nsw,19960216,25,03 94752939,8896620,0
4361,alexamdra,van gelderen,350,dallachy place,,mole creek,6018,nsw,,29,03 86834757,7215674,8
31411,erin,jukes,39,torrens street,,north geelong,2466,nsw,19900217,26,04 97987468,5562521,0
47961,lucy,,2,darrell place,,aberfoyle park,6285,wa,19030215,,02 93835089,5496950,0
41921,emmet,,188,hensman street,villa2,clarkefield,2300,sa,19551215,33,07 27565384,8387535,6
10981,joeo,valente,607,captain cook crescent,,st albans,6530,vic,,37,07 93890631,1267423,0
14471,brodee,smith,32,kingsmill street,,rosaxna,6450,nsw,19301020,29,07 82537897,5313192,2
6631,tayah,salter,29,piper street,oughtibridge,yowie bay,2460,vic,19820221,,03 27402335,8854999,5
27421,hayley,cabrrra,19,stone place,the cottage,flemington,6168,vic,19210504,25,08 01186080,8575494,6
27921,imogen,gordon,4,melrose drive,,st leonards,2023,vic,19730815,34,04 17236762,9813648,1
29991,hugh,bennet,26,de graaff street,the poplars,inglewood,2481,vic,19910224,33,02 77160434,4349116,1
48281,jacqueline,kells,574,ligertwood street,flt 5,charlestown,7001,wa,19261022,39,02 57059241,6272778,1
34231,lauren,mclachlan,11,neales street,,bidwill,3075,qld,19780703,34,08 81336737,3757433,5
11141,talia,svetlichny,10,altair place,freshfield,canterbury,2802,wa,19810626,,02 14958920,5308726,1
38591,jacinta,greenebrg,11,badimara street,greenwood park,drummoyne,3673,nsw,19830930,18,04 59584361,6342640,5
17201,talis,kent,9,seymour place,walkers orchard,labrador,2153,nsw,19801015,27,,4458787,7
14761,connor,coad,301,beetaloo street,,leumeah,4730,nsw,19990713,,03 10855775,3635536,9
26951,isabella,scimone,18,wirilda street,molonglo river,glenroy,2870,qld,19720124,24,02 91436182,7898050,8
42751,isabella,green,9,hadleigh circuit,,carseltine,2000,nsw,19990814,25,04 89413440,1377191,7
